semestre,area_aspirada,meta_graduacion,frecuencia_ia,impacto_ia,horas_autonomas,factor_empleo,lenguajes,frameworks,herramientas
4,Ciencia de Datos / Analítica,No lo sé aún,Ocasionalmente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Inglés y habilidades blandas,"C,Go,Python","Angular,React / Next.js","Jira,Scrum"
1,Desarrollo de IA,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,C++,"Node.js,React","AWS,GitHub,GitHub Actions"
3,Desarrollo Web Frontend,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Certificaciones externas,JavaScript / TypeScript,Django,Ninguna
2,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,Inglés y habilidades blandas,"Java,JavaScript / TypeScript,SQL","Django,Node.js","Jira,Kubernetes,Linux"
3,Gestión de Proyectos,Trabajar de forma remota,Rara vez,Tendrá un impacto menor,Más de 10 horas,Portafolio,"C++,JavaScript / TypeScript,Python",Node.js,"Git,Kubernetes,Linux"
1,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Portafolio,Java,React,"AWS,Git,Kubernetes"
6,Gestión de Proyectos,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,0 horas,Certificaciones externas,"JavaScript / TypeScript,Python","Django,Spring Boot",Linux
6,DevOps / Cloud,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Certificaciones externas,"C,Go","Django,Django / FastAPI,Node.js","Docker,GitHub Actions,Linux,Scrum"
2,Desarrollo de IA,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,Ninguno,React,"Jira,Scrum"
6,Ciencia de Datos / Analítica,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,"JavaScript / TypeScript,Python,SQL","Angular,Spring Boot","Kubernetes,Linux"
2,Desarrollo Web Fullstack,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,Ninguno,Angular,"GitHub,Linux"
7,Desarrollo de IA,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,Más de 10 horas,El título universitario,"Go,JavaScript / TypeScript,Python","Django,Spring Boot","AWS,GitHub,Kubernetes,Linux"
2,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Inglés y habilidades blandas,"C,Go","Django,Django / FastAPI","Git,Jira,Linux,Scrum"
4,Desarrollo Web Backend,Trabajar en empresa local,Ocasionalmente,Tendrá un impacto menor,De 6 a 10 horas,El título universitario,Java,Angular,"Docker,GitHub Actions,Jira"
6,Ciencia de Datos / Analítica,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,C++,"Angular,React","Git,GitHub Actions,Kubernetes,Scrum"
9,Ciberseguridad,Emprender,Ocasionalmente,No estoy seguro,De 1 a 5 horas,Inglés y habilidades blandas,Ninguno,"Django / FastAPI,React / Next.js","GitHub Actions,Scrum"
1,Desarrollo de IA,Trabajar de forma remota,Nunca,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,"C,Go","Node.js,React / Next.js","Docker,GitHub,Kubernetes,Scrum"
5,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,Más de 10 horas,El título universitario,C,React,"Git,GitHub,GitHub Actions"
3,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,Inglés y habilidades blandas,"C++,Java","Angular,Django,React / Next.js",GitHub Actions
2,Gestión de Proyectos,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,"C++,JavaScript / TypeScript,Python",Django,"Docker,GitHub,Kubernetes"
1,Desarrollo Web Backend,Emprender,Ocasionalmente,Tendrá un impacto menor,De 1 a 5 horas,Inglés y habilidades blandas,C,"Angular,React","Git,GitHub,GitHub Actions,Linux"
7,Desarrollo Web Fullstack,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,SQL,"Angular,Django / FastAPI","AWS,Docker,Jira,Kubernetes"
5,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,Portafolio,"C,Python","Django,Django / FastAPI",Ninguna
1,Desarrollo Web Fullstack,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"JavaScript / TypeScript,SQL",Ninguno,"GitHub,Jira"
8,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Mi portafolio de proyectos,C++,Spring Boot,AWS
2,Ciencia de Datos / Analítica,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,Python,"Angular,Spring Boot","GitHub,GitHub Actions"
1,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,Más de 10 horas,El título universitario,"C,Go","Django / FastAPI,Node.js,React","GitHub Actions,Linux"
2,No lo sé aún,No lo sé aún,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Certificaciones externas,SQL,Django,"GitHub,Linux"
5,Desarrollo de IA,Trabajar de forma remota,Diariamente,Tendrá un impacto menor,De 1 a 5 horas,Inglés y habilidades blandas,"C,Java",Ninguno,"GitHub,GitHub Actions,Kubernetes"
5,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,No estoy seguro,0 horas,Mi portafolio de proyectos,"C++,SQL","Django,React","Git,Jira"
6,DevOps / Cloud,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,C++,Ninguno,"Jira,Kubernetes,Linux,Scrum"
1,Desarrollo Web Frontend,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,SQL,"Angular,React","Git,Jira"
4,Desarrollo Web Fullstack,No lo sé aún,Rara vez,No estoy seguro,De 6 a 10 horas,El título universitario,Go,Spring Boot,GitHub
3,Redes / Infraestructura,Trabajar en empresa local,Ocasionalmente,No estoy seguro,0 horas,Inglés y habilidades blandas,"C,Python","Angular,Node.js,React",Docker
2,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Certificaciones externas,C,"Node.js,Spring Boot","Git,Kubernetes"
6,Desarrollo Web Backend,Emprender,Diariamente,Será una herramienta obligatoria,0 horas,Inglés y habilidades blandas,Java,React / Next.js,GitHub Actions
4,Ciberseguridad,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Inglés y habilidades blandas,"C,Go","Angular,Django / FastAPI","Docker,Jira"
1,Desarrollo Web Fullstack,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,Python,"Angular,React","Docker,GitHub Actions,Linux,Scrum"
1,Desarrollo Web Fullstack,Trabajar de forma remota,Nunca,Será una herramienta obligatoria,0 horas,Portafolio,"C++,Go,SQL","Django,Spring Boot","GitHub,GitHub Actions,Scrum"
1,Desarrollo Web Frontend,Emprender,Ocasionalmente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"C,SQL","Angular,React / Next.js",Ninguna
6,DevOps / Cloud,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,"C,JavaScript / TypeScript,Python",React / Next.js,"GitHub,Jira"
3,No lo sé aún,Emprender,Ocasionalmente,No estoy seguro,De 6 a 10 horas,El título universitario,"C,SQL",Node.js,"AWS,Git,Linux"
3,Desarrollo Web Fullstack,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,"C,JavaScript / TypeScript,Python","Django,React / Next.js,Spring Boot","Docker,GitHub,Kubernetes,Scrum"
6,DevOps / Cloud,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"JavaScript / TypeScript,SQL","Django,React / Next.js","AWS,Jira"
3,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,No estoy seguro,0 horas,Mi portafolio de proyectos,"C,Java","Angular,Django,Spring Boot",Kubernetes
7,Ciencia de Datos / Analítica,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Inglés y habilidades blandas,"C,JavaScript / TypeScript",Ninguno,"Git,GitHub Actions"
1,DevOps / Cloud,Trabajar de forma remota,Nunca,Tendrá un impacto menor,De 1 a 5 horas,Certificaciones externas,Ninguno,"Django / FastAPI,Node.js",Ninguna
3,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,"C,SQL",Ninguno,Ninguna
2,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,0 horas,El título universitario,Ninguno,"Node.js,React,Spring Boot",Ninguna
3,Redes / Infraestructura,Trabajar en empresa local,Ocasionalmente,Tendrá un impacto menor,De 1 a 5 horas,Inglés y habilidades blandas,"C,Python","Angular,Node.js,React / Next.js","Docker,GitHub Actions"
3,Desarrollo Web Backend,Emprender,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,"C++,JavaScript / TypeScript,Python","Django / FastAPI,Spring Boot",Docker
2,Ciberseguridad,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Mi portafolio de proyectos,Ninguno,"Angular,Django / FastAPI,Node.js","Kubernetes,Linux"
2,Desarrollo Web Frontend,No lo sé aún,Diariamente,Será una herramienta obligatoria,0 horas,El título universitario,"C++,JavaScript / TypeScript","Django / FastAPI,Node.js,Spring Boot","AWS,Jira,Kubernetes"
5,DevOps / Cloud,No lo sé aún,Diariamente,Será una herramienta obligatoria,0 horas,Portafolio,Ninguno,Ninguno,"AWS,Jira,Scrum"
6,DevOps / Cloud,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,Ninguno,Ninguno,"AWS,Docker,Jira,Linux"
5,DevOps / Cloud,Trabajar de forma remota,Rara vez,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Inglés y habilidades blandas,Ninguno,Ninguno,"Git,GitHub Actions"
2,Redes / Infraestructura,Emprender,Rara vez,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,"C++,Go,Java",Node.js,"AWS,GitHub,Kubernetes"
8,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Certificaciones externas,"C++,Java",Ninguno,"Docker,GitHub,Jira"
2,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"JavaScript / TypeScript,Python,SQL",Node.js,Git
4,Gestión de Proyectos,Emprender,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,Inglés y habilidades blandas,JavaScript / TypeScript,"Angular,React / Next.js","Docker,Git"
2,Ciencia de Datos / Analítica,Trabajar en empresa local,Ocasionalmente,Tendrá un impacto menor,Más de 10 horas,Inglés y habilidades blandas,JavaScript / TypeScript,"Django / FastAPI,React / Next.js",AWS
6,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,Tendrá un impacto menor,De 6 a 10 horas,Inglés y habilidades blandas,"Go,Python",Spring Boot,Ninguna
4,Ciberseguridad,Trabajar de forma remota,Nunca,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,"Java,JavaScript / TypeScript",Node.js,"Docker,Git"
6,Desarrollo Web Frontend,No lo sé aún,Diariamente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,El título universitario,"C++,Go,JavaScript / TypeScript","React,Spring Boot",Ninguna
